Signs_id,Signs_description
411,"genetic disorder
apnea
central apnea
diaphragmatic apnea
obstructive apnea
upper airway apnea
mixed apnea
very sensitive to any of several anesthetic agents
when anesthetic drugs or administered a the muscles that work the lungs may become paralyzed
shortage or absence of the enzyme pseudocholinesterase in their blood serum
if the anesthetic derivative of choline given the the apnea
deficiency of the enzyme pseudocholinesterase
apnea
pauses in breathing during an infant ’s sleep
no chest movements during the pauses in breathing
chest movements but no passage of air through the mouth or nostrils followed by or intermixed with an obstructive apnea
"
412,"hereditary disorder
mental retardation
cataracts
inadequate response to the parathyroid hormone
blurred vision
hypersensitivity to light
stiffness or in the arms and/or legs
round face
thick short stature
short fourth fingers
short stature
short neck,
shortened bones in the hands and feet
seizures
teeth with underdeveloped enamel tend to erupt later
levels of calcium in the blood low phosphate elevated
headaches
unusual sensations
weakness
easy fatigue
lack of energy
palpitations
abdominal pain
tiring easily
lethargy"
413,"mucinous tumor
cancer
mucinous ascites
large amounts of mucus to particular locations within the abdomen and pelvis
mucocele is widely distributed throughout the abdomen and pelvis
primary appendiceal tumor
"
414,"infectious disease
pneumonia
fever
dry cough
myalgia"
415,"genetic disorder
minor facial anomalies
short stature
vertebral defects
contractures of the neck
inside bend of the elbows back of the knees armpits fingers
"
416,"
orthostatic hypotension
sudden drastic drop in blood pressure
accumulation of a protein called alpha-synuclein in autonomic nerves
"
417,"bone marrow disorder
primary autoimmune disorder
tumor of the thymus gland
thyoma
viral infections
autoimmune disorder
viral infection
bone marrow failure syndromes
pallor
fatigue
lethargy"
418,"inflammatory skin
inflammatory bowel disease
autoimmune disorder
papules
nodules
ulcerations
"
419,"genetic disorder
severe insulin resistance
"
420,"neurological disorder
facial palsy
chickenpox
shingles
herpes zoster
varicella
rash affecting the ear mouth
ear abnormalities
hearing loss
tinnitus"
421,"asthma
allergies
chronic bronchitis
croup
gastroesophageal reflux

"
422,"genetic disorders
leukodystrophies
retinitis pigmentosa
peripheral neuropathy
ataxia
disruption of lipid metabolism
myelin sheath fails to grow
ichthyosis
phytanic acid in blood or urine
"
423,"genetic disorder
oligohydramnios
absence of both kidneys at birth
failure of the kidneys to develop in a fetus
absence of kidneys
compression of the fetus
malformations of the baby
kidney abnormalities
"
424,"
hematuria
losing weight
fevers
night sweats
pain in their flank around the kidney area
feel a mass in their abdomen"
425,"inherited vision disorders
deafness
obesity
kidney disease
central nervous system disorders
chromosomal abnormalities
vision disorders
age-related macular degeneration
glaucoma
progressive degeneration of the retina
peripheral vision gradually decreases
inherited visual loss
progressive loss in photoreceptor function
"
426,"cancer of the eye
childhood malignancies
leukocoria
tumor
tumors
"
427,"
splitting of the eye 's retina into two layers
"
428,"intellectual disability

"
429,"vitamin deficiency
bone disease
insufficient amounts of vitamin d in the body
restlessness
slow growth
"
430,"genetic disorder
hypodontia
glaucoma
partial adontia
mild craniofacial abnormalities
abnormalities of the eye
eye abnormalities
rieger eye anomalies
eye defects
small, conical teeth
"
431,"lymphadenopathy
cervical lymphadenopathy
abnormal accumulation of histiocytes of extranodal
"
432,"genetic disorder
peripheral neuropathy
x-linked disorder
hearing loss
optic atrophy
neurological abnormalities
"
433,"genetic neuromuscular disorder
hereditary motor sensory neuropathies
incoordination
sensory ataxia
areflexia of the lower legs and the hands
weakness of muscles of the lower legs
high arches of the feet with increased extension
pes cavus
clawfoot
tremors of the hands
kyphoscoliosis
denervation
weakness of the leg muscles loss of feeling
difficulty walking
lack of reflexes
slight tremor in the hands
"
434,"
abnormalities of the heart nervous system the eyes the ears
"
435,"viral infection
measles
mumps
fever
swollen lymph nodes
distinctive red rash
rash
headache
aching joints"
436,"inherited disorder
mental retardation
microcephaly
scoliosis
short stature
abnormalities affecting the head and facial (craniofacial) area
skeletal malformations
hypoplastic genitalia
characteristic craniofacial features
small, narrow nose
down-slanting eyelid folds
clinodactyly
short metacarpals metatarsals
small hands feet
prominence of the breastbone
characteristic facial abnormalities
shortening of bones in the hands feet
"
437,"lipid storage disorder
autosomal recessive genetic disorder
progressive deterioration of the central nervous system
deficiency of hexosaminidase a and b
accumulation of gm2 gangliosides
hexosaminidase a and b  absent or reduced activity
"
438,"inherited metabolic disorder storage diseases
deficient activity of the lysosomal enzyme alpha-n-acetylgalactosaminidase
abnormal accumulation of glycosphingolipids, glycoproteins, and oligosaccharides
"
439,"inherited disorder
cryptorchidism
pyloric stenosis
inguinal hernia
abnormalities of the bones of the hands forearms
hypoplasia and dysfunction of apocrine glands mammary glands
abnormalities affecting the forearms
hypoplastic terminal phalanx
underdevelopment of of ulna
bone abnormalities affecting the fingers hands wrists arms
genital abnormalities
bicornate uterus in females in males
dysfunction of apocrine glands mammary glands
ventricular septal defects
"
440,"genetic disorder
abnormalities of the skeletal muscles
myotonic myopathy
bone dysplasia
joint contractures
growth delays
dwarfism
small, fixed facial features
abnormalities of the eyes
impaired vision
"
441,"syndactyly
inherited disorder
unusual head shape
growth delay
"
442,"inherited disorder
intrauterine growth retardation
low birth weight
growth delays postnatal
dwarfism
microcephaly
mental retardation
characteristic facial features
"""" """" beak-like """" """" protrusion of the nose
facial features
large eyes
narrow face
malformed ears
micrognathia
clinodactyly
dysplasia of the hips
radial dislocation
physical abnormalities
"
443,"
progressive wasting of the filtering unit of the kidney
cysts that develop in the kidneys during infancy or early childhood
early-onset retinal dystrophy
progressive retina disease
damages vision
renal failure
vision loss
"
444,"infectious disease

"
445,"
low levels of neutrophils
neutrophil count falls below 0.5
"
446,"
low trec
low numbers of lymphocytes in the blood
low levels of b cells
"
447,"autosomal recessive genetic defect in fatty acid catabolism
fatty acid oxidation disorders
fod
deficiency of the short-chain acyl-coa dehydrogenase (scad) enzyme
"
448,"
multiple birth defects in different organ systems
"
449,"sialolithiasis
inflammation and enlargement of one or more of the salivary glands
tenderness
redness
gradual, localized swelling of the affected area
pain"
450,"inherited metabolic disorder
deficiency of the enzyme neuraminidase
deficiency of neuraminidase
accumulation of toxic materials in the body
myoclonus
cherry-red macules in the eyes
neurological findings
cherry-red macules
mildly coarse facial features
skeletal malformations
mild cognitive impairment
"
451,"infectious disorder
viral invasion of the brain and the meninges
neurological damage
fever
vomiting
stiff neck back
neuromuscular dysfunction
respiratory difficulties
vision problems
cranial nerve abnormalities
alteration of consciousness
personality changes
seizures
paresis
coma
headache
malaise"
452,"eosinophilic lung disease

"
453,"x-linked recessive, inherited disorder
polydactyly
prenatal overgrowth
postnatal overgrowth
characteristic facial features,
super-numerary nipples
multisystemic malformations that may vary from child to child
cardiac malformations
mild to moderate mental retardation
"
454,"cancer of the nasal cavity and/or paranasal sinuses
papilloma
cancers
cancer
bloody nose
runny nose
double vision
bulging eye to chronic infections
nasal obstruction
epistaxis
rhinorrhea
exopthalmos
proptosis
diplopia
nasal infection
"
455,"congenital developmental disorder
imperforate anus
spina bifida
heart (cardiac) malformations
anomalies of the lower spine the lower limbs
partial or complete fusion of the legs
genitourinary abnormalities
gastrointestinal abnormalities
anomalies of the lumbarsacral spine pelvis
agenesis of one or both kidneys
one foot
no feet
both feet rotated externally
tailbone is usually absent
sacrum is partially or completely absent
"
456,"intellectual disability
epilepsy
generalized epilepsy
focal epilepsy
status epilepticus
absence seizures
speech difficulties
behavioral problems
language impairment
speech delay
seizure absences myoclonic
atonic seizures
irregular bursts of diffuse 2.5-3.5 hz spikes / polyspikes-and-slow waves in 25/31 during sleep
ataxia
"
457,"genetic disorder
microcephaly
autosomal recessive genetic disorder
slow growth before and after birth
mild to moderate mental retardation
multiple birth defects
particular facial features
heart defects
fused second and third toes
extra fingers toes
underdeveloped external genitals in males
deficiency in the enzyme 7-dehydrocholesterol reductase
abnormality in cholesterol metabolism
elevated concentration of 7-dehydrocholesterol (7-dhc) in blood serum
elevated 7-dehydrocholesterol : cholesterol ratio
"
458,"osteoporosis
x-linked intellectual disability
xlid
gestalt
facial dysmorphism
prominent lower lip
asthenic build
low muscle mass
kyphoscohosis
speech abnormalities
hypotonia at birth
facial features
developmental milestones not met early in life
developmental delay
motor disability
seizures
"
459,"tumors
cancers

"
460,"genetic disorder
intellectual disability
excessive growth
dolichocephalic
distinctive facial configuration
non-progressive neurological disorder
"
461,"slowly-progressing neurodegenerative disorders
microcephaly
intellectual disability
global developmental delay
moderate to severe intellectual disability
impaired / absent speech
seizures
progressive motor symptoms
abnormal adaptor protein complex 4
spasticity
developmental delay
seizure
thin corpus callosum
wide lateral ventricles
changes in the white matter .
"
462,"spinal muscular atrophy
diaphragmatic paralysis
"
463,"genetic disorder
syndactyly
complete or partial absence of some fingers
clefts in the hands feet
hands a claw-like appearance
skeletal anomalies
"
464,"acquired progressive muscle disorder
autoimmune disease
autoimmune diseases
progressive weakness of the muscles
"
465,"
cavities form on the surface of the brain
cysts filled with cerebrospinal fluid
fluid-filled cavities cysts
"
466,"neurological disorder
measles
memory loss
irritability
seizures
involuntary muscle movements
behavioral changes
neurological deterioration
"
467,"
inborn error of metabolism
deficient activity of the ssadh enzyme
disrupts the metabolism of gamma-aminobutyric acid
abnormal accumulation of the compound succinic semialdehyde is reduced or converted to 4-hydroxybutyric acid also known as ghb
elevated levels of ghb in the urine the of the plasma the the csf
"
468,"otosclerosis
patulous eustachian tubes
middle ear perilymphatic fistulas
ménière ’s disease
ear disorders
meniere ’s disease
patulous eustachian tube
superior semicircular canal dehiscence
cholesteatoma
absence of bone overlying the superior semicircular canal facing toward the dura of the middle cranial fossa
pressure induced vertigo
conductive hearing loss
fluctuating or progressive sensorineural hearing loss
occlusion of the superior canal
hearing loss
fluctuating hearing loss
posterior semicircular canal dehiscence
anomalies of the vestibular aqueduct
horizontal semicircular canal dehiscence
internal auditory canal can wide
tullio 's phenomenon
aural fullness
autophony
asymptomatic
vertigo
dizziness
sound-induced vertigo
fullness / pressure in the ear
hearing your eyes move / blink heart beat joint movements
fullness in the ear
hearing your breathing loudly in the ear"
469,"chronic infectious disease
ulcer
rash
"
470,"inherited disorder
cardiovascular disease
neuropathy
peripheral neuropathy
reduced levels of high-density lipoproteins (hdl) in the blood
enlarged and yellow- or orange-colored tonsils
enlarged lymph nodes
hypertriglyceridemia
corneal clouding
enlarged orange- or yellow-colored tonsils
fatty deposits accumulating in the tonsils
fatty deposits
enlargement of the throat liver spleen lymph nodes
fat accumulations in nerves
loss-of-sensation
discoloration in the digestive system the rectum large intestine
clouding of the cornea of the eye
"
471,"neurodegenerative disorder
lysosomal storage disease
deficiency of hexosaminidase a
accumulation of gangliosides in the brain and nerve cells
accumulation of gangliosides
progressive dysfunction of the central nervous system
too much fatty material builds up in the lysosome
"
472,"inherited disorder

"
473,"cancer
genetic cancer

"
474,"viral infections
cardiovascular disorders
malignant conditions

chest pain"
475,"autoimmune disorders
neuro-immunological disorder
ophthalmoplegia
decreased eye movements
paralysis of certain cranial nerves
ptosis
diplopia
large pupil
facial numbness
proptosis
inflammation of cavernous sinus and superior orbital fissure
inflammation
granulomatous inflammation
generalized inflammation
constricted or inflamed cranial blood vessels
severe periorbital headaches
pain"
476,"genetic disorder
hypodontia
absence of all teeth
absence of from 1 to 5 teeth
six or more teeth are missing
"
477,"genetic disorder
hypodontia
malformation of certain primary and secondary teeth
dysplasia of the nails
at birth or toenails and/or fingernails are absent
absence of certain primary teeth
hypoplasia of nails
absence and malformation of several secondary (permanent) teeth
nail dysplasia has been verified
"
478,"toxoplasmosis
rubella virus
cytomegalovirus
herpes simplex viruses
chickenpox
parvovirus
herpes simplex
rubella
fever
difficulties feeding
small areas of bleeding under the skin
small reddish or purplish spots
hepatosplenomegaly
jaundice
hearing impairment
abnormalities of the eyes
miscarriage
intrauterine growth retardation
early delivery
"
479,"multisystem disease
measles
high fever
vomiting
diarrhea
hypotension
skin rash
fever
rash
desquamation
nausea"
480,"autoimmune diseases
autoimmune disease
multisystem inflammatory
invasion and infiltration of the tear and salivary glands by white blood cells
dry mouth
dry eyes
presence of a ss-a / ss-b antibody in the blood
spinal cord inflammation
enlarged lymph nodes
lung inflammation
skin lesions
inflammation
"
481,"autosomal dominant genetic disorder
inherited disorder
kinky or curly hair
poorly developed tooth enamel
sclerosis of the top portion of the skull the long bones bones in the arms legs
thin, brittle nails
dolicocephaly
"
482,"inherited multisystem disorder
skeletal dysplasia
inherited disorder
thin, sparse scalp hair
unusual facial features
abnormalities of the fingers toes
characteristic facial features
bulbous nose
micrognathia
dental anomalies
prominent ears
fingers curved
short stature
thin, sparse hair
epiphyseal coning
"
483,"inherited multisystem disorder
brachydactyly
mental retardation
sensorineural deafness
fine, thin hair
unusual facial features
progressive growth retardation
dwarfism
epiphyseal coning
exostoses
hyperextensible joints
hypotonia
redundant skin
maculopapular nevi
delayed speech development
"
484,"inherited multisystem disorder
brachydactyly
fine, thin light-colored hair
unusual facial features
abnormalities of the fingers toes
skeletal dysplasia
characteristic facial features
bulbous nose
long prominent groove in the upper lip
delayed eruption of teeth
metacarpophalangeal shortening
dwarfism
skeletal abnormalities
fine, sparse hair
facial abnormalities
epiphyseal coning
"
485,"intellectual impairment
hair abnormalities
short stature
small chin
ichthyosis
developmental delay
bone and teeth anomalies
abnormal patterns of myelination
reduced sulfur content in patient ’s hair
hair shaft abnormalities
"
486,"
hair loss
"
487,"chromosomal disorder

"
488,"chromosomal syndrome

"
489,"digestive disease
malabsorption
nutritional deficiencies
abnormalities in the mucous lining of the small intestine
diarrhea
"
490,"genetic disorder

"
491,"
blood begins to flow unevenly, with one fetal twin receiving too much blood (recipient) and one receiving too little (donor)
recipient twin heart failure
donor twin on life-threatening anemia insufficient nutrition oxygen inadequate supply of blood
imbalance in blood flow
twin-twin transfusion
"
492,"genetic disorder
mild movement disorder
life-threatening neurological disorder
dystonia
muscle disorders
movement disorder
severe, diffuse brain disorder
abnormal gait
involuntary muscle contractions
abnormal painful movements postures affects the legs
tremors
eye abnormalities
children to walk on their tiptoes in childhood
"
493,"autosomal recessive genetic metabolic disorder
lack of the enzyme fumarylacetoacetate hydrolase
failure to properly break down tyrosine
accumulation of tyrosine metabolites in the liver
severe liver disease
tyrosine in the kidneys central nervous system
"
494,"angioedema
exaggerated allergic reactions
drug allergy
allergy
hereditary enzyme deficiency
papules
bumps between 0.2 and 2 cm
bullae
acute angioedema
urticaria
"
495,"
erythematous allergic skin lesions
pruritus
wheals
lesion
"
496,"genetic disorder
moderate to profound deafness in children
"
497,"cancer
soft tissue sarcoma

"
498,"metabolic disorder
metabolic acidosis
elevated levels of the amino acid valine in the blood
deficiency of the enzyme valine transaminase
vomit
fail to thrive
hypotonia
hyperactivity
protein intolerance
vomiting
failure to thrive
coma
levels of the amino acid valine in the urine are elevated
low muscle tone
drowsiness
metabolic products that accumulate in the blood
lack of appetite"
499,"allergic reactions
hypersensitivity
autoimmune disorder .
autoimmune disorders

"
500,"cataract
asthma
eczema
rhinitis
inflammation of the outer membrane of the eye
eyes to become red
blurred vision
eyes become sensitive to light and itch intensely
cobblestone-like changes appear in the upper eyelid linings (palpebral conjunctiva)
gelatinous nodule may develop in the tissue adjacent to the cornea (limbus)
shield ulcers
temporarily or permanently reduced vision
"
501,"genetic disorder of fatty acid metabolism
metabolic diseases
fatty acid oxidation (fod) diseases
enzyme needed to break down certain very long-chain fatty acids is missing or not working properly
"
502,"
loss of vision
drowsiness
loss of hearing
loss of pigmentation
poliosis
severe headache
vertigo
nausea"
503,"congenital deafness

"
504,"malignant disorder of the bone marrow and lymphatic tissues
anemia
peripheral neuropathy
abnormally large numbers of a particular kind of white blood cell known as b lymphocytes
excessive quantities of an igm
large amounts of igm
blood to become thick
small blood vessels tear
bleeding in the nose gums retina
bleeding from the nose gums
tingling in the fingers and toes
enlarged liver spleen lymph nodes
blurring
vision impairment
changes in blood flow through the blood vessels that serve the retina
viscous blood
bleeding of the retina
low red blood cell
low platelet counts
fatigue
loss of energy"
505,"pneumocystis carinii pneumonia
pcp
deficiency in the wasp protein
thrombocytopenia
bloody diarrhea
recurrent infections
scaling
itchy
eczema
petechia
intracranial bleeding
hemolytic anemia
arthritis
kidney damage
low platelet count
small platelet size
low igm
elevated iga ige
decreased absolute numbers of cd8 + t cells
decreased function of natural killer cells
decreased or absent wasp protein
"
506,"infectious disorder
occupational disorder
dysfunction of the kidneys liver
hepatomegaly
jaundice
alterations in consciousness
"
507,"genetic disorder of connective tissue
myopia
glaucoma
abnormalities of the lens of the eye
short stature
brachycephaly
joint stiffness
eye abnormalities
microspherophakia
ectopia lentis
abnormal shape of the eye and lens
blindness
heart defects
"
508,"genetic skeletal disorder
skeletal disorder
osseousbo dysplasia
bowing of of of fibula
short stature
"
509,"spinal muscular atrophy
muscle weakness
"
510,"progressive disorder
progeria
"
511,"
malabsorption
anemia
"
512,"genetic disorder

"
513,"genetic disorder
hypodontia
prenatal and postnatal growth retardation
short stature
varying degree of mental deficiency
distinctive facial features
round face
full cheeks
thick lips
large mouth that is usually held open
anteverted nares
short eyelid folds
flared eyebrows
small lower jaw
prominent ears
dental abnormalities
elevated levels of calcium in the blood
"
514,"kidney cancer
pediatric kidney cancer
pediatric cancer
malignant kidney tumors
"
515,"neurological or disorders

"
516,"connective tissue disorder
mucopolysaccharidoses
hereditary metabolic diseases
short stature
arthritis-like symptoms
nodules under the skin
coarse facial features
eye abnormalities
progressive contractures
cataracts
hyperpigmentation
growth of hair in the leathery patches of skin
"
517,"chromosomal disorder
microcephaly
intellectual disability
ocular hypertelorism
broad or beaked nose
low-set malformed ears
growth deficiency
heart defects
seizures
characteristic facial appearance
growth failure
developmental delays
"
518,"congenital heart disorder
irregularities in the electrical system of the heart
abnormal alternate electrical pathway
arrhythmias
tachycardia
"
519,"diabetes mellitus
optic atrophy

"
520,"infectious tropical disease
infectious disease
small, painless bumps on the skin
ulcer
crispy, crunchy rash
crab yaws
walking is painful"
521,"viral infection
damage to the liver kidney heart gastrointestinal tract
sudden onset of fever
jaundice
hemorrhage
fever
headache
aching muscles"
522,"genetic multisystem disorder
microcephaly
autosomal recessive condition
inherited disorder
large fontanelles
clavicular hypoplasia
characteristic facial features
abnormalities of fingers and toes
ear abnormalities
anteverted nares
midfacial hypoplasia
micrognathia
sparse or absent eyebrows eyelashes
abnormalities of the fingers and toes
aplasia or hypoplasia of the fingers and toes
severe feeding problems
respiratory difficulties
malformations of the brain
hypotonia
heart defects
feeding problems
"
